open,high,low,close,symbol,date
190.9,192.09,188.97,189.37,AAPL,2023-11-29T00:00:00+0000
189.78,191.08,189.4,190.4,AAPL,2023-11-28T00:00:00+0000
189.92,190.6699,188.9,189.79,AAPL,2023-11-27T00:00:00+0000
190.87,190.9,189.25,189.97,AAPL,2023-11-24T00:00:00+0000
191.49,192.93,190.825,191.31,AAPL,2023-11-22T00:00:00+0000
191.41,191.5,189.74,190.64,AAPL,2023-11-21T00:00:00+0000
189.89,191.9,189.88,191.45,AAPL,2023-11-20T00:00:00+0000
190.25,190.38,188.57,189.69,AAPL,2023-11-17T00:00:00+0000
189.57,190.95,188.65,189.71,AAPL,2023-11-16T00:00:00+0000
187.845,189.5,187.78,188.01,AAPL,2023-11-15T00:00:00+0000
187.7,188.11,186.305,187.44,AAPL,2023-11-14T00:00:00+0000
185.82,186.03,184.21,184.8,AAPL,2023-11-13T00:00:00+0000
183.97,186.57,183.53,186.4,AAPL,2023-11-10T00:00:00+0000
182.96,184.115,181.81,182.41,AAPL,2023-11-09T00:00:00+0000
182.35,183.45,181.599,182.89,AAPL,2023-11-08T00:00:00+0000
179.18,182.44,178.98,181.82,AAPL,2023-11-07T00:00:00+0000
176.38,179.43,176.21,179.23,AAPL,2023-11-06T00:00:00+0000
174.24,176.82,173.35,176.65,AAPL,2023-11-03T00:00:00+0000
175.52,177.78,175.46,177.57,AAPL,2023-11-02T00:00:00+0000
171.0,174.23,170.13,173.97,AAPL,2023-11-01T00:00:00+0000
169.35,170.9,167.9,170.77,AAPL,2023-10-31T00:00:00+0000
169.02,171.17,168.87,170.29,AAPL,2023-10-30T00:00:00+0000
166.91,168.96,166.83,168.22,AAPL,2023-10-27T00:00:00+0000
170.37,171.3775,165.67,166.89,AAPL,2023-10-26T00:00:00+0000
171.88,173.06,170.65,171.1,AAPL,2023-10-25T00:00:00+0000
173.05,173.67,171.46,173.44,AAPL,2023-10-24T00:00:00+0000
170.91,174.01,169.94,173.0,AAPL,2023-10-23T00:00:00+0000
175.31,175.42,172.64,172.88,AAPL,2023-10-20T00:00:00+0000
176.04,177.84,175.19,175.46,AAPL,2023-10-19T00:00:00+0000
175.58,177.57,175.11,175.84,AAPL,2023-10-18T00:00:00+0000
176.645,178.42,174.8,177.15,AAPL,2023-10-17T00:00:00+0000
176.75,179.075,176.51,178.72,AAPL,2023-10-16T00:00:00+0000
181.42,181.93,178.14,178.85,AAPL,2023-10-13T00:00:00+0000
180.07,182.34,179.04,180.71,AAPL,2023-10-12T00:00:00+0000
178.2,179.85,177.6,179.8,AAPL,2023-10-11T00:00:00+0000
178.1,179.72,177.95,178.39,AAPL,2023-10-10T00:00:00+0000
176.81,179.05,175.805,178.99,AAPL,2023-10-09T00:00:00+0000
173.8,177.99,173.18,177.49,AAPL,2023-10-06T00:00:00+0000
173.79,175.4411,172.68,174.91,AAPL,2023-10-05T00:00:00+0000
171.09,174.21,170.98,173.66,AAPL,2023-10-04T00:00:00+0000
172.26,173.63,170.82,172.4,AAPL,2023-10-03T00:00:00+0000
171.22,174.3,171.0,173.75,AAPL,2023-10-02T00:00:00+0000
172.02,173.07,170.34,171.21,AAPL,2023-09-29T00:00:00+0000
169.34,172.026,167.62,170.69,AAPL,2023-09-28T00:00:00+0000
172.62,173.04,169.05,170.43,AAPL,2023-09-27T00:00:00+0000
174.82,175.055,171.66,171.96,AAPL,2023-09-26T00:00:00+0000
174.2,176.96,174.155,176.08,AAPL,2023-09-25T00:00:00+0000
174.67,177.08,174.05,174.79,AAPL,2023-09-22T00:00:00+0000
174.55,176.3,173.86,173.93,AAPL,2023-09-21T00:00:00+0000
179.26,179.695,175.4,175.49,AAPL,2023-09-20T00:00:00+0000
177.52,179.63,177.13,179.07,AAPL,2023-09-19T00:00:00+0000
176.48,179.38,176.44,177.97,AAPL,2023-09-18T00:00:00+0000
176.48,176.5,173.82,175.01,AAPL,2023-09-15T00:00:00+0000
174.0,176.1,173.58,175.74,AAPL,2023-09-14T00:00:00+0000
176.51,177.3,173.98,174.21,AAPL,2023-09-13T00:00:00+0000
179.49,180.12,174.82,176.3,AAPL,2023-09-12T00:00:00+0000
180.07,180.3,177.34,179.36,AAPL,2023-09-11T00:00:00+0000
178.35,180.239,177.79,178.18,AAPL,2023-09-08T00:00:00+0000
175.18,178.21,173.54,177.56,AAPL,2023-09-07T00:00:00+0000
188.4,188.735,181.47,182.91,AAPL,2023-09-06T00:00:00+0000
188.28,189.98,187.61,189.7,AAPL,2023-09-05T00:00:00+0000
189.485,189.92,188.28,189.46,AAPL,2023-09-01T00:00:00+0000
187.84,189.12,187.48,187.87,AAPL,2023-08-31T00:00:00+0000
184.94,187.79,184.74,187.65,AAPL,2023-08-30T00:00:00+0000
179.695,184.9,179.5,184.12,AAPL,2023-08-29T00:00:00+0000
180.09,180.585,178.545,180.19,AAPL,2023-08-28T00:00:00+0000
177.38,179.15,175.82,178.61,AAPL,2023-08-25T00:00:00+0000
180.674,181.104,176.02,176.38,AAPL,2023-08-24T00:00:00+0000
178.52,181.55,178.325,181.12,AAPL,2023-08-23T00:00:00+0000
